Column1,Column2,Column3,Column4
1,999,1,0
2,999,1,0
3,999,1,0
4,999,1,0
5,999,1,0
6,999,1,0
7,996,4,0
8,996,3,1
9,994,5,1
10,992,7,1
11,991,8,1
12,989,10,1
13,985,14,1
14,982,17,1
15,981,18,1
16,979,20,1
17,976,23,1
18,973,26,1
19,970,29,1
20,969,28,3
21,967,30,3
22,965,31,4
23,964,32,4
24,962,34,4
25,960,36,4
26,956,40,4
27,951,44,5
28,946,49,5
29,943,52,5
30,941,54,5
31,936,58,6
32,932,62,6
33,929,65,6
34,925,69,6
35,920,72,8
36,914,78,8
37,907,84,9
38,902,88,10
39,898,92,10
40,896,94,10
41,891,99,10
42,884,105,11
43,882,105,13
44,874,113,13
45,866,120,14
46,860,125,15
47,853,131,16
48,849,133,18
49,841,140,19
50,831,149,20
51,822,157,21
52,812,165,23
53,800,177,23
54,782,193,25
55,773,201,26
56,763,209,28
57,748,223,29
58,741,229,30
59,732,235,33
60,724,242,34
61,703,259,38
62,693,266,41
63,686,270,44
64,674,282,44
65,665,290,45
66,655,299,46
67,644,308,48
68,625,325,50
69,609,340,51
70,594,353,53
71,585,359,56
72,576,366,58
73,566,373,61
74,549,382,69
75,535,394,71
76,518,408,74
77,504,417,79
78,496,424,80
79,486,432,82
80,476,442,82
81,465,452,83
82,452,462,86
83,442,471,87
84,430,481,89
85,423,485,92
86,415,489,96
87,404,499,97
88,398,501,101
89,393,503,104
90,381,514,105
91,373,522,105
92,366,523,111
93,362,524,114
94,348,535,117
95,344,539,117
96,337,543,120
97,330,549,121
98,326,551,123
99,311,565,124
100,302,572,126
101,288,580,132
102,279,584,137
103,271,586,143
104,264,587,149
105,253,596,151
106,245,600,155
107,233,610,157
108,226,616,158
109,218,619,163
110,210,624,166
111,206,627,167
112,197,632,171
113,190,636,174
114,188,632,180
115,185,631,184
116,181,630,189
117,175,630,195
118,164,637,199
119,161,634,205
120,150,642,208
121,149,639,212
122,149,637,214
123,139,644,217
124,136,640,224
125,129,644,227
126,127,642,231
127,119,645,236
128,114,645,241
129,109,648,243
130,100,652,248
131,93,652,255
132,88,653,259
133,81,654,265
134,77,650,273
135,72,652,276
136,68,655,277
137,65,655,280
138,58,658,284
139,48,666,286
140,43,668,289
141,40,667,293
142,35,668,297
143,33,668,299
144,28,670,302
145,28,666,306
146,26,665,309
147,17,671,312
148,16,666,318
149,11,664,325
150,10,664,326
151,5,662,333
152,5,658,337
153,5,658,337
154,5,656,339
155,4,654,342
156,4,651,345
157,3,644,353
158,2,642,356
159,2,638,360
160,2,637,361
161,1,634,365
162,1,628,371
163,1,621,378
164,1,619,380
165,1,614,385
166,1,610,389
167,1,605,394
168,1,605,394
169,1,598,401
170,1,597,402
171,1,594,405
172,0,589,411
173,0,587,413
174,0,584,416
175,0,579,421
176,0,574,426
177,0,569,431
178,0,566,434
179,0,559,441
180,0,552,448
181,0,549,451
182,0,548,452
183,0,544,456
184,0,541,459
185,0,539,461
186,0,537,463
187,0,534,466
188,0,533,467
189,0,532,468
190,0,530,470
191,0,529,471
192,0,526,474
193,0,525,475
194,0,524,476
195,0,521,479
196,0,518,482
197,0,515,485
198,0,512,488
199,0,508,492
200,0,506,494
201,0,501,499
202,0,500,500
203,0,497,503
204,0,493,507
205,0,490,510
206,0,484,516
207,0,480,520
208,0,475,525
209,0,471,529
210,0,466,534
211,0,457,543
212,0,455,545
213,0,451,549
214,0,449,551
215,0,446,554
216,0,442,558
217,0,441,559
218,0,437,563
219,0,433,567
220,0,428,572
221,0,426,574
222,0,423,577
223,0,422,578
224,0,419,581
225,0,417,583
226,0,415,585
227,0,413,587
228,0,408,592
229,0,407,593
230,0,407,593
231,0,407,593
232,0,405,595
233,0,403,597
234,0,399,601
235,0,397,603
236,0,391,609
237,0,391,609
